id,srcip,srcmac,srcport,dstip,dstmac,dstport,protocol,packets,neighbors
51669,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
51670,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
51671,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
51712,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
51713,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
51715,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
51716,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
51813,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.210,B8:27:EB:B8:03:59,-1,1,1,-1
51814,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.210,B8:27:EB:B8:03:59,-1,1,1,-1
51850,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
